year,ward_no,ward_name,circle,zone,mean_ndvi
2017,13,HAYATHNAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.2283560383448966
2017,15,VANASTHALIPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,0.15254922072857702
2017,26,OLD MALAKPET,6-MALAKPET,CHARMINAR ZONE,0.16116599759849107
2017,17,CHAMPAPET,4-LB. NAGAR,L.B.NAGAR ZONE,0.1068714099024459
2017,39,SANTOSH NAGAR,7-SANTOSH NAGAR,CHARMINAR ZONE,0.10390053780448277
2017,66,LUNGER HOUSE,13-KARWAN,KHAIRATHABAD ZONE,0.26017072367007577
2017,112,RAMACHANDRAPURAM,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.19239834304345307
2017,128,CHINTAL,26-GAJULARAMARAM,KUKATPALLY ZONE,0.2940872304197493
2017,126,JAGADGIRI GUTTA,26-GAJULARAMARAM,KUKATPALLY ZONE,0.15461611698388625
2017,129,SURARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,0.25522124856736783
2017,133,MACHABOLARUM,27-ALWAL,KUKATPALLY ZONE,0.2588924413846305
2017,138,MOULA-ALI,28-MALKAJGIRI,SECUNDERABAD ZONE,0.15011511008722853
2017,107,MADHAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.18451788182169493
2017,OU,,OU,,0.3467330852099846
2017,149,BEGUMPET,30-BEGUMPET,SECUNDERABAD ZONE,0.1960256299353346
2017,135,VENKATAPURAM,27-ALWAL,KUKATPALLY ZONE,0.1872121600732583
2017,123,HYDER NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,0.1728851285520448
2017,122,VIVEKANANDA NAGAR COLONY,24-KUKATPALLY,KUKATPALLY ZONE,0.11629077886439199
2017,113,PATANCHERUVU,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.28093450912319334
2017,108,MIYAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.23137858395964314
2017,41,KANCHANBAGH,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.26407618767325763
2017,7,CHILUKA NAGAR,2-UPPAL,L.B.NAGAR ZONE,0.22429692542104626
2017,9,RAMANTHAPUR,2-UPPAL,L.B.NAGAR ZONE,0.201144662180791
2017,25,MOOSARAMBAGH,6-MALAKPET,CHARMINAR ZONE,0.13114567344892256
2017,BANDLA GUDA,,BANDLAGUDA,,0.23863603882272486
2017,28,AZAMPURA,6-MALAKPET,CHARMINAR ZONE,0.1035598742732516
2017,56,KISHAN BAGH,10-FALAKNUMA,CHARMINAR ZONE,0.1481531516485006
2017,52,PURANAPOOL,9-CHARMINAR,CHARMINAR ZONE,0.07281756436377587
2017,59,MAILARDEVPALLY,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.2140364955841876
2017,46,FALAKNUMA,10-FALAKNUMA,CHARMINAR ZONE,0.11136393486049005
2017,61,ATTAPUR,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.16462861136667525
2017,60,RAJENDRANAGAR,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.2728079631942017
2017,49,GANSIBAZAR,9-CHARMINAR,CHARMINAR ZONE,0.09104724330599515
2017,33,MOGHALPURA,9-CHARMINAR,CHARMINAR ZONE,0.07361581523405875
2017,47,NAWABSAHEBKUNTA,10-FALAKNUMA,CHARMINAR ZONE,0.08476295691630462
2017,58,SHASTRIPURAM,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.14262161915070404
2017,54,JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,0.08589552648503886
2017,48,SHALIBANDA,9-CHARMINAR,CHARMINAR ZONE,0.0902218907098238
2017,53,DOODBOWLI,10-FALAKNUMA,CHARMINAR ZONE,0.1035462686882961
2017,55,RAMNASTPURA,10-FALAKNUMA,CHARMINAR ZONE,0.19516555915234987
2017,43,CHANDRAYANGUTTA,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.13274249733924534
2017,44,UPPUGUDA,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.09365522114165903
2017,35,GOWLIPURA,7-SANTOSH NAGAR,CHARMINAR ZONE,0.08551829906049427
2017,30,DABEERPURA,6-MALAKPET,CHARMINAR ZONE,0.10044812410312348
2017,32,PATHER GATTI,9-CHARMINAR,CHARMINAR ZONE,0.0769271341636252
2017,23,GADDIANNARAM,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.08336566170650214
2017,24,SAIDABAD,6-MALAKPET,CHARMINAR ZONE,0.1324354429236621
2017,27,AKBERBAGH,6-MALAKPET,CHARMINAR ZONE,0.14125683752480492
2017,45,JANGAMMET,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.11766922096517451
2017,42,BARKAS,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.1936630271599875
2017,57,SULEMAN NAGAR,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.1668007171975864
2017,74,AHMED NAGAR,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.1861065154098576
2017,92,VENKATESHWARA COLONY,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.20134046369776934
