year,ward_no,ward_name,mean_tree_prob
2017,15,VANASTHALIPURAM,0.05042862707533596
2017,26,OLD MALAKPET,0.047590837288681256
2017,17,CHAMPAPET,0.0317744076639287
2017,39,SANTOSH NAGAR,0.03941438484873069
2017,66,LUNGER HOUSE,0.17905160537318
2017,112,RAMACHANDRAPURAM,0.07076059174108426
2017,128,CHINTAL,0.22412704347680742
2017,126,JAGADGIRI GUTTA,0.054985039626489235
2017,129,SURARAM,0.1983006553411302
2017,133,MACHABOLARUM,0.08556275122689634
2017,138,MOULA-ALI,0.0334575307237191
2017,107,MADHAPUR,0.05607819049226603
2017,OU,,0.3035436622632128
2017,149,BEGUMPET,0.08275817183224994
2017,135,VENKATAPURAM,0.04119795838908458
2017,123,HYDER NAGAR,0.05838283208611976
2017,122,VIVEKANANDA NAGAR COLONY,0.031132076033908676
2017,113,PATANCHERUVU,0.12511242505451645
2017,108,MIYAPUR,0.09993515942182986
2017,41,KANCHANBAGH,0.1728801171769967
2017,7,CHILUKA NAGAR,0.10085617259359521
2017,9,RAMANTHAPUR,0.08655862722112265
2017,25,MOOSARAMBAGH,0.037003542512704594
2017,BANDLA GUDA,,0.06883604075232076
2017,28,AZAMPURA,0.03654257633568939
2017,56,KISHAN BAGH,0.04738027324238977
2017,52,PURANAPOOL,0.03212973099632262
2017,59,MAILARDEVPALLY,0.13011500935577935
2017,46,FALAKNUMA,0.04639380186143695
2017,61,ATTAPUR,0.047692975741636834
2017,60,RAJENDRANAGAR,0.17403474401036464
2017,49,GANSIBAZAR,0.038932783646627896
2017,33,MOGHALPURA,0.029849836729845154
2017,47,NAWABSAHEBKUNTA,0.037883854007162474
2017,58,SHASTRIPURAM,0.04048905213903035
2017,54,JAHANUMA,0.03218786859012886
2017,48,SHALIBANDA,0.03279889358585403
2017,53,DOODBOWLI,0.03448114581935076
2017,55,RAMNASTPURA,0.1431599347034838
2017,43,CHANDRAYANGUTTA,0.057123255974701144
2017,44,UPPUGUDA,0.03506477002201795
2017,35,GOWLIPURA,0.03153460192723652
2017,30,DABEERPURA,0.03762824797927747
2017,32,PATHER GATTI,0.03549459540445054
2017,23,GADDIANNARAM,0.03125135858816755
2017,24,SAIDABAD,0.035020443256765045
2017,27,AKBERBAGH,0.051079468820191924
2017,45,JANGAMMET,0.0445298158206041
2017,42,BARKAS,0.0738166428226767
2017,57,SULEMAN NAGAR,0.08921372838085848
2017,74,AHMED NAGAR,0.09916110631372729
2017,92,VENKATESHWARA COLONY,0.14251127173917116
2017,89,GANDHINAGAR,0.03385259045500623
2017,75,RED HILLS,0.042493021840628864
2017,79,HIMAYATNAGAR,0.03319907958507211
2017,88,BHOLAKPUR,0.03161192820438348
2017,86,MUSHEERABAD,0.04975772013058578
2017,85,ADIKMET,0.0327991108639197
2017,87,RAMNAGAR,0.03538679801156125
2017,90,KAVADIGUDA,0.07721692600529415
2017,93,BANJARA HILLS,0.04035829215293988
2017,91,KHAIRTABAD,0.04381110693101953
2017,103,BORABANDA,0.03287583833639524
2017,97,SOMAJIGUDA,0.03903106185251002
2017,98,AMEERPET,0.050805632240643786
2017,101,ERRAGADDA,0.052894060986533965
2017,100,SANATH NAGAR,0.038249047990356916
2017,99,VENGALRAO NAGAR,0.062031092364908544
2017,102,RAHAMATH NAGAR,0.04017065816216642
2017,6,NACHARAM,0.08572452103684276
2017,84,BAGH AMBERPET,0.04515153448447746
2017,81,NALLAKUNTA,0.0341872316180482
2017,80,KACHIGUDA(Barkathpura),0.033098530101052286
2017,82,GOLNAKA,0.052071604026028
2017,83,AMBERPET,0.09747087090786566
2017,51,GOSHA MAHAL,0.04556657305588059
2017,68,TOLICHOWKI,0.09806524615793533
2017,67,GOLCONDA,0.10924275899954117
2017,77,JAMBAGH(Nampally),0.03381757517648507
2017,63,MANGALHAT,0.04198461962478752
2017,71,GUDIMALKAPUR,0.04813103816808731
2017,70,MEHDIPATNAM,0.03337027431777515
2017,76,MALLEPALLY,0.031230838765940946
2017,62,ZIAGUDA,0.044149386014525
2017,72,ASIF NAGAR,0.03106851721652804
2017,73,VIJAYANAGAR COLONY,0.03729922066077277
2017,5,MALLAPUR,0.12162130757218677
2017,3,CHERLAPALLY,0.1208146796914268
2017,96,YOUSUFGUDA,0.05486912041076122
2017,95,JUBILEE HILLS,0.04708583711191907
2017,50,BEGUM BAZAR,0.03879010449433431
2017,78,GUNFOUNDRY(Abids),0.0427754170062434
2017,65,KARWAN,0.04317866923346099
2017,2,DR.A.S.RAO NAGAR,0.07855718809944086
2017,4,MEERPET H.B.COLONY,0.11825234916355604
2017,1,KAPRA,0.0638964255563767
2017,94,SHAIKPET,0.05432001331953652
2017,64,DATTATHREYA NAGAR,0.030967227618146347
2017,69,NANALNAGAR,0.13862078103929826
2018,127,RANGAREDDY NAGAR,0.06895693720102827
2018,119,OLD BOWENPALLY,0.04639440027351371
2018,145,SEETHAPHALMANDI,0.030248922114399304
2018,146,BOUDHA NAGAR,0.0314933026138773
2018,147,BANSILALPET,0.03580408655755144
2018,144,METTUGUDA,0.06992568093512357
2018,148,RAMGOPALPET,0.03438311288160431
2018,150,MONDA  MARKET,0.032870114140101804
2018,136,NEREDMET,0.05718788066731569
2018,141,GOUTHAM NAGAR,0.03441694672880698
2018,140,MALKAJGIRI,0.03488364612277619
2018,139,EAST ANAND BAGH,0.08921940657357114
2018,142,ADDAGUTTA,0.05055315272790002
2018,137,VINAYAK NAGAR,0.03578120750055655
2018,134,ALWAL,0.04076702756691598
2018,132,JEEDIMETLA,0.08246359204508351
2018,CONTONMENT AREA,,0.07370720465474567
2018,120,BALA NAGAR,0.2264697048291473
2018,130,SUBHASH NAGAR,0.047831265964746995
2018,131,QUTHBULLAPUR,0.12958871124412405
2018,121,KUKATPALLY,0.03493567867672099
2018,125,GAJULARAMARAM,0.06496862853844874
2018,124,ALLYWN COLONY,0.03949860505318022
2018,114,K.P.H.B.COLONY,0.061753284816265665
2018,116,ALLAPUR,0.06001984063181448
2018,115,BALAJI NAGAR,0.17529131099273987
2018,117,MOOSAPET,0.035804826235793195
2018,105,GACHIBOWLI,0.13572585445153332
2018,110,CHANDANAGAR,0.06810253851614909
2018,111,BHARATHI NAGAR,0.039031383176119684
2018,106,SERILINGAMPALLY,0.0914917154385802
