ward_no,ward_name,zone,ndvi_change,lst_change_c,heat_risk_score
148,RAMGOPALPET,SECUNDERABAD ZONE,-0.011184498274612112,-1.2606680068367098,-1.1488230240905886
82,GOLNAKA,SECUNDERABAD ZONE,-0.0446087471521896,-1.6216853641955566,-1.1755978926736605
11,NAGOLE,L.B.NAGAR ZONE,-0.11407541319875028,-2.3620673992988586,-1.2213132673113558
143,TARNAKA,SECUNDERABAD ZONE,-0.05029224461303661,-1.7357267997084236,-1.2328043535780575
56,KISHAN BAGH,CHARMINAR ZONE,-0.0378613705711138,-1.6318623838792377,-1.2532486781680996
86,MUSHEERABAD,SECUNDERABAD ZONE,-0.03716958846598831,-1.6489113505446014,-1.2772154658847183
78,GUNFOUNDRY(Abids),KHAIRATHABAD ZONE,-0.026105445710189287,-1.5644701263254959,-1.303415669223603
35,GOWLIPURA,CHARMINAR ZONE,-0.029866882678721812,-1.6349600479547632,-1.336291221167545
43,CHANDRAYANGUTTA,CHARMINAR ZONE,-0.0568635133763198,-1.9138716189419611,-1.3452364851787633
133,MACHABOLARUM,KUKATPALLY ZONE,-0.0659227263824877,-2.0149371086983194,-1.3557098448734424
141,GOUTHAM NAGAR,SECUNDERABAD ZONE,-0.033489797281520906,-1.7040292322867145,-1.3691312594715055
39,SANTOSH NAGAR,CHARMINAR ZONE,-0.040850553058247,-1.8084144067450154,-1.3999088761625453
50,BEGUM BAZAR,KHAIRATHABAD ZONE,-0.0161456523117951,-1.637459620818987,-1.476003097701036
49,GANSIBAZAR,CHARMINAR ZONE,-0.011648625686764794,-1.6063416318956314,-1.4898553750279835
30,DABEERPURA,CHARMINAR ZONE,-0.023996577522995194,-1.737594675007557,-1.497628899777605
27,AKBERBAGH,CHARMINAR ZONE,-0.037505984230413125,-1.9109480842272717,-1.5358882419231406
52,PURANAPOOL,CHARMINAR ZONE,-0.024207625626975607,-1.7792018498050552,-1.5371255935352992
40,RIYASATNAGAR,CHARMINAR ZONE,-0.04156705246856371,-1.973743937398396,-1.558073412712759
77,JAMBAGH(Nampally),KHAIRATHABAD ZONE,-0.02023400992607781,-1.785650384058009,-1.583310284797231
81,NALLAKUNTA,SECUNDERABAD ZONE,-0.02642903106724899,-1.8696058040120676,-1.6053154933395777
29,CHAWANI,CHARMINAR ZONE,-0.0349367973601581,-1.9850130996648971,-1.635645126063316
36,LALITHABAGH,CHARMINAR ZONE,-0.037423056833568,-2.0104398114743915,-1.6362092431387114
130,SUBHASH NAGAR,KUKATPALLY ZONE,-0.0301578724702202,-1.9841154323940131,-1.6825367076918112
24,SAIDABAD,CHARMINAR ZONE,-0.031549258561807486,-2.0164275726683556,-1.7009349870502808
21,KOTHAPET,L.B.NAGAR ZONE,-0.05768139030118559,-2.285801235324662,-1.7089873323128062
64,DATTATHREYA NAGAR,KHAIRATHABAD ZONE,-0.024689252657089905,-2.055919795928709,-1.80902726935781
132,JEEDIMETLA,KUKATPALLY ZONE,-0.0790153806287246,-2.6302255544894493,-1.8400717482022033
25,MOOSARAMBAGH,CHARMINAR ZONE,-0.0316505347820604,-2.238570484784937,-1.922065136964333
147,BANSILALPET,SECUNDERABAD ZONE,-0.019311974009243282,-2.1218875305598104,-1.9287677904673775
44,UPPUGUDA,CHARMINAR ZONE,-0.0456979473821211,-2.3869123091336917,-1.9299328353124807
80,KACHIGUDA(Barkathpura),SECUNDERABAD ZONE,-0.012377513140233498,-2.116235014098514,-1.992459882696179
12,MANSOORABAD,L.B.NAGAR ZONE,-0.0866326495667466,-2.906423324558645,-2.040096828891179
32,PATHER GATTI,CHARMINAR ZONE,-0.012698065284111701,-2.189649096367937,-2.06266844352682
85,ADIKMET,SECUNDERABAD ZONE,-0.030088836318033302,-2.406807711366433,-2.1059193481861
79,HIMAYATNAGAR,SECUNDERABAD ZONE,-0.016214776221695593,-2.329211960702672,-2.167064198485716
13,HAYATHNAGAR,L.B.NAGAR ZONE,-0.09600519796232687,-3.1693680870889978,-2.209316107465729
89,GANDHINAGAR,SECUNDERABAD ZONE,-0.02099070800277679,-2.437751138168025,-2.227844058140257
146,BOUDHA NAGAR,SECUNDERABAD ZONE,-0.0187910586557863,-2.4541830978018098,-2.2662725112439466
19,SAROORNAGAR,L.B.NAGAR ZONE,-0.03443947801155341,-2.623064132875612,-2.278669352760078
34,TALABCHANCHALAM,CHARMINAR ZONE,-0.018591310993658003,-2.516254458867749,-2.330341348931169
22,CHAITHANYAPURI,L.B.NAGAR ZONE,-0.045491781034232806,-2.7956237196196767,-2.340705909277349
145,SEETHAPHALMANDI,SECUNDERABAD ZONE,-0.0211887939457574,-2.5538483876923763,-2.3419604482348024
18,LINGOJIGUDA,L.B.NAGAR ZONE,-0.0524163301881307,-2.8993595619873958,-2.3751962601060885
90,KAVADIGUDA,SECUNDERABAD ZONE,-0.0320929371807985,-2.6989834111696354,-2.3780540393616505
23,GADDIANNARAM,L.B.NAGAR ZONE,-0.022181336454277,-2.7159950673519972,-2.494181702809227
16,HASTHINAPURAM,L.B.NAGAR ZONE,-0.08409137695674439,-3.4126784730319386,-2.5717647034644946
17,CHAMPAPET,L.B.NAGAR ZONE,-0.043043565080069804,-3.0395941909866693,-2.6091585401859714
88,BHOLAKPUR,SECUNDERABAD ZONE,-0.009644678701456702,-2.711195267504749,-2.614748480490182
37,KURMAGUDA,CHARMINAR ZONE,-0.025587852426704596,-2.9000458471579194,-2.6441673228908735
14,B.N.REDDY NAGAR,L.B.NAGAR ZONE,-0.0874128964414323,-3.5335256668441275,-2.6593967024298046
20,R.K.PURAM,L.B.NAGAR ZONE,-0.0371773305613424,-3.103293313197952,-2.731520007584528
31,REIN BAZAR,CHARMINAR ZONE,-0.0180789084348461,-2.9891795444804146,-2.8083904601319536
15,VANASTHALIPURAM,L.B.NAGAR ZONE,-0.0739064646159522,-3.659681619351069,-2.9206169731915472
