year,ward_no,ward_name,circle,zone,mean_ndvi,mean_lst_c
2017,144,METTUGUDA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.2216794367862818,38.016956509245475
2017,148,RAMGOPALPET,30-BEGUMPET,SECUNDERABAD ZONE,0.11004957444722,38.3212754905988
2017,150,MONDA  MARKET,30-BEGUMPET,SECUNDERABAD ZONE,0.1239618865564109,38.01460634075413
2017,136,NEREDMET,28-MALKAJGIRI,SECUNDERABAD ZONE,0.2532678037600629,36.85368808121645
2017,141,GOUTHAM NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1449063624745898,37.85725766206347
2017,140,MALKAJGIRI,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1526607938542978,36.84486025805104
2017,139,EAST ANAND BAGH,28-MALKAJGIRI,SECUNDERABAD ZONE,0.2231941317647086,37.94657807274978
2017,142,ADDAGUTTA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.1906953321930481,38.682713027663105
2017,137,VINAYAK NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1478155755633607,37.03132421992844
2017,134,ALWAL,27-ALWAL,KUKATPALLY ZONE,0.1893456201554436,37.239733055910186
2017,132,JEEDIMETLA,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.2613807836291831,36.30465568585469
2017,CONTONMENT AREA,,CANTONMENT AREA,,0.2793623370425195,39.11705288996311
2017,120,BALA NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,0.3134525350701691,36.74224599026065
2017,130,SUBHASH NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.1722227027661629,38.78742877502334
2017,131,QUTHBULLAPUR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.2161391579895844,37.183281134622476
2017,121,KUKATPALLY,24-KUKATPALLY,KUKATPALLY ZONE,0.1471716243574973,38.7696368174594
2017,125,GAJULARAMARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,0.2069132941794102,38.59003388107651
2017,124,ALLYWN COLONY,24-KUKATPALLY,KUKATPALLY ZONE,0.1676831227413446,37.97271853421883
